delta,real_s12,img_s12,s22
-2.205000e+001,-1.131169e-002,-5.130020e-004,1.282505e-004
-2.204000e+001,-1.131680e-002,-5.134666e-004,1.283666e-004
-2.203000e+001,-1.132192e-002,-5.139318e-004,1.284829e-004
-2.202000e+001,-1.132703e-002,-5.143976e-004,1.285994e-004
-2.201000e+001,-1.133216e-002,-5.148640e-004,1.287160e-004
-2.200000e+001,-1.133728e-002,-5.153311e-004,1.288328e-004
-2.199000e+001,-1.134242e-002,-5.157988e-004,1.289497e-004
-2.198000e+001,-1.134755e-002,-5.162672e-004,1.290668e-004
-2.197000e+001,-1.135269e-002,-5.167362e-004,1.291840e-004
-2.196000e+001,-1.135784e-002,-5.172058e-004,1.293014e-004
-2.195000e+001,-1.136299e-002,-5.176760e-004,1.294190e-004
-2.194000e+001,-1.136814e-002,-5.181470e-004,1.295367e-004
-2.193000e+001,-1.137330e-002,-5.186185e-004,1.296546e-004
-2.192000e+001,-1.137847e-002,-5.190907e-004,1.297727e-004
-2.191000e+001,-1.138364e-002,-5.195635e-004,1.298909e-004
-2.190000e+001,-1.138881e-002,-5.200370e-004,1.300093e-004
-2.189000e+001,-1.139399e-002,-5.205112e-004,1.301278e-004
-2.188000e+001,-1.139917e-002,-5.209859e-004,1.302465e-004
-2.187000e+001,-1.140436e-002,-5.214614e-004,1.303653e-004
-2.186000e+001,-1.140955e-002,-5.219374e-004,1.304844e-004
-2.185000e+001,-1.141475e-002,-5.224142e-004,1.306035e-004
-2.184000e+001,-1.141995e-002,-5.228916e-004,1.307229e-004
-2.183000e+001,-1.142516e-002,-5.233696e-004,1.308424e-004
-2.182000e+001,-1.143037e-002,-5.238483e-004,1.309621e-004
-2.181000e+001,-1.143559e-002,-5.243276e-004,1.310819e-004
-2.180000e+001,-1.144081e-002,-5.248077e-004,1.312019e-004
-2.179000e+001,-1.144603e-002,-5.252883e-004,1.313221e-004
-2.178000e+001,-1.145126e-002,-5.257697e-004,1.314424e-004
-2.177000e+001,-1.145650e-002,-5.262516e-004,1.315629e-004
-2.176000e+001,-1.146174e-002,-5.267343e-004,1.316836e-004
-2.175000e+001,-1.146698e-002,-5.272176e-004,1.318044e-004
-2.174000e+001,-1.147223e-002,-5.277016e-004,1.319254e-004
-2.173000e+001,-1.147749e-002,-5.281862e-004,1.320466e-004
-2.172000e+001,-1.148275e-002,-5.286715e-004,1.321679e-004
-2.171000e+001,-1.148801e-002,-5.291575e-004,1.322894e-004
-2.170000e+001,-1.149328e-002,-5.296442e-004,1.324110e-004
-2.169000e+001,-1.149855e-002,-5.301315e-004,1.325329e-004
-2.168000e+001,-1.150383e-002,-5.306195e-004,1.326549e-004
-2.167000e+001,-1.150911e-002,-5.311082e-004,1.327770e-004
-2.166000e+001,-1.151440e-002,-5.315975e-004,1.328994e-004
-2.165000e+001,-1.151970e-002,-5.320875e-004,1.330219e-004
-2.164000e+001,-1.152499e-002,-5.325782e-004,1.331446e-004
-2.163000e+001,-1.153030e-002,-5.330696e-004,1.332674e-004
-2.162000e+001,-1.153560e-002,-5.335617e-004,1.333904e-004
-2.161000e+001,-1.154092e-002,-5.340544e-004,1.335136e-004
-2.160000e+001,-1.154623e-002,-5.345478e-004,1.336370e-004
-2.159000e+001,-1.155156e-002,-5.350419e-004,1.337605e-004
-2.158000e+001,-1.155688e-002,-5.355367e-004,1.338842e-004
-2.157000e+001,-1.156221e-002,-5.360322e-004,1.340081e-004
-2.156000e+001,-1.156755e-002,-5.365284e-004,1.341321e-004
-2.155000e+001,-1.157289e-002,-5.370252e-004,1.342563e-004
-2.154000e+001,-1.157824e-002,-5.375227e-004,1.343807e-004
-2.153000e+001,-1.158359e-002,-5.380210e-004,1.345052e-004
-2.152000e+001,-1.158895e-002,-5.385199e-004,1.346300e-004
-2.151000e+001,-1.159431e-002,-5.390195e-004,1.347549e-004
-2.150000e+001,-1.159968e-002,-5.395198e-004,1.348800e-004
-2.149000e+001,-1.160505e-002,-5.400208e-004,1.350052e-004
-2.148000e+001,-1.161042e-002,-5.405225e-004,1.351306e-004
-2.147000e+001,-1.161581e-002,-5.410249e-004,1.352562e-004
-2.146000e+001,-1.162119e-002,-5.415281e-004,1.353820e-004
-2.145000e+001,-1.162658e-002,-5.420319e-004,1.355080e-004
-2.144000e+001,-1.163198e-002,-5.425364e-004,1.356341e-004
-2.143000e+001,-1.163738e-002,-5.430416e-004,1.357604e-004
-2.142000e+001,-1.164279e-002,-5.435475e-004,1.358869e-004
-2.141000e+001,-1.164820e-002,-5.440541e-004,1.360135e-004
-2.140000e+001,-1.165362e-002,-5.445615e-004,1.361404e-004
-2.139000e+001,-1.165904e-002,-5.450695e-004,1.362674e-004
-2.138000e+001,-1.166446e-002,-5.455783e-004,1.363946e-004
-2.137000e+001,-1.166989e-002,-5.460877e-004,1.365219e-004
-2.136000e+001,-1.167533e-002,-5.465979e-004,1.366495e-004
-2.135000e+001,-1.168077e-002,-5.471088e-004,1.367772e-004
-2.134000e+001,-1.168622e-002,-5.476204e-004,1.369051e-004
-2.133000e+001,-1.169167e-002,-5.481327e-004,1.370332e-004
-2.132000e+001,-1.169713e-002,-5.486458e-004,1.371614e-004
-2.131000e+001,-1.170259e-002,-5.491596e-004,1.372899e-004
-2.130000e+001,-1.170806e-002,-5.496740e-004,1.374185e-004
-2.129000e+001,-1.171353e-002,-5.501893e-004,1.375473e-004
-2.128000e+001,-1.171901e-002,-5.507052e-004,1.376763e-004
-2.127000e+001,-1.172449e-002,-5.512218e-004,1.378055e-004
-2.126000e+001,-1.172998e-002,-5.517392e-004,1.379348e-004
-2.125000e+001,-1.173547e-002,-5.522574e-004,1.380643e-004
-2.124000e+001,-1.174097e-002,-5.527762e-004,1.381941e-004
-2.123000e+001,-1.174647e-002,-5.532958e-004,1.383239e-004
-2.122000e+001,-1.175198e-002,-5.538161e-004,1.384540e-004
-2.121000e+001,-1.175749e-002,-5.543371e-004,1.385843e-004
-2.120000e+001,-1.176301e-002,-5.548589e-004,1.387147e-004
-2.119000e+001,-1.176853e-002,-5.553814e-004,1.388454e-004
-2.118000e+001,-1.177406e-002,-5.559047e-004,1.389762e-004
-2.117000e+001,-1.177959e-002,-5.564287e-004,1.391072e-004
-2.116000e+001,-1.178513e-002,-5.569534e-004,1.392383e-004
-2.115000e+001,-1.179068e-002,-5.574789e-004,1.393697e-004
-2.114000e+001,-1.179623e-002,-5.580051e-004,1.395013e-004
-2.113000e+001,-1.180178e-002,-5.585320e-004,1.396330e-004
-2.112000e+001,-1.180734e-002,-5.590597e-004,1.397649e-004
-2.111000e+001,-1.181291e-002,-5.595882e-004,1.398970e-004
-2.110000e+001,-1.181848e-002,-5.601174e-004,1.400294e-004
-2.109000e+001,-1.182405e-002,-5.606474e-004,1.401618e-004
-2.108000e+001,-1.182963e-002,-5.611781e-004,1.402945e-004
-2.107000e+001,-1.183522e-002,-5.617095e-004,1.404274e-004
-2.106000e+001,-1.184081e-002,-5.622417e-004,1.405604e-004
